gene	spearmans_rho	effect	stderr	pval	mse
ACP6	0.691172595520422	0.71510067573635	0.106599775683849	3.40886406060676e-08	21.4997650367023
ACTA1	0.146113306982872	-0.120144678638407	0.151393930648128	0.431791868235817	43.3648712725744
ACTN2	0.173913043478261	-0.219850457213042	0.148767477102123	0.146745744895507	41.8732941643815
ADCY10	-0.0798661117830027	-0.154169018563194	0.150675372111105	0.311941698431662	42.9542042034715
AK2	0.112384716732543	0.185344178436394	0.14985632929807	0.222869275815204	42.4884915628685
AKT3	-0.00263556702783482	0.0313974452915387	0.152423385286096	0.837772177706958	43.9566248188833
ALDH9A1	0.165876152832675	0.180863499824082	0.149983595570531	0.234454061772468	42.5606893549809
ANGPTL7	0.3795778823153	0.281853109052243	0.146315907424741	0.0606895574308272	40.5045882963737
ASH1L	0.333069828722003	0.242858379666826	0.147933030686312	0.107951700385542	41.4048715267266
ATAD3C	0.174457292415616	0.218478816302857	0.148814462821366	0.149346736377128	41.8997483003837
ATXN7L2	-0.160277368081483	-0.103544994706658	0.151678855517037	0.498483555423027	43.5282510991327
B3GALNT2	0.243592627751617	0.2341551831648	0.14825899323262	0.121581193173397	41.5875394086706
C1orf112	-0.0128081044944076	-0.0429877937569085	0.152357600278127	0.779181621562868	43.9186901818682
C1orf159	0.00619235836627141	0.0729070919067512	0.152092731501457	0.634111978662421	43.7661204617868
C1orf174	0.0588932806324111	0.0760432755187051	0.152057013500245	0.619556494160383	43.745566490929
C1orf216	-0.0894184229343088	-0.00521070817619811	0.152496500037634	0.972900222285221	43.9988053348933
C1orf220	0.122336045390653	0.208782778150615	0.149137812929168	0.168707625968524	42.0820290680993
CADM3	0.159766893246601	-0.0195863192378351	0.15246931647847	0.898383327972902	43.9831205483434
CAMSAP2	-0.156785243741765	-0.180790329093845	0.149985647135499	0.234646595253817	42.5618537038701
CAPN8	0.0309148148105904	0.0430208034068984	0.152357383597284	0.779016307341043	43.9185652608659
