gene	effect	stderr	pval	mse
ACP6	0.989231620751852	0.0223194567871008	1.58540259786664e-37	0.942515222205225
ACTA1	0.980634547457114	0.0298663240135648	4.3972157994049e-32	1.68765891067749
ACTN2	0.985313511389504	0.0260398997396022	1.20470106170291e-34	1.28292050802463
AK2	1	4.07946849831551e-13	0	3.14867836287924e-22
AKT3	1	3.27636807477615e-13	0	2.03098400445923e-22
ALDH9A1	0.9991605816631	0.00624710547049312	2.61090709918665e-61	0.0738378102289078
ANGPTL7	1	2.51875084675545e-14	0	1.20030482266352e-24
ASH1L	0.839475276412197	0.082867400425727	5.81817396455528e-13	12.9923754528772
ATAD3C	0.999965779554761	0.00126159477736974	3.48194603570004e-91	0.00301134765528624
ATXN7L2	0.999999999999999	1.56766545059956e-13	0	4.64973183378669e-23
C1orf112	1	1.71413537837051e-13	0	5.55918810046166e-23
C1orf159	0.923849652348793	0.0583696759147731	1.51727001277499e-19	6.44608007362057
C1orf174	0.951275081811997	0.0470219440913466	1.35476297707551e-23	4.18333162383744
C1orf216	0.999999999999999	2.33233756010475e-13	0	1.0292098751169e-22
C1orf220	0.980126489014021	0.0302516828411579	7.63495405235144e-32	1.73149088345403
CADM3	0.999999999999999	1.73231095793337e-13	0	5.67770517441463e-23
CAMSAP2	0.987018781191108	0.0244920136845875	8.62433298885648e-36	1.13493272534484
CAPN9	0.999854267379369	0.00260341458814861	1.17672975538417e-77	0.0128235361436492
CAPZB	0.948799268681408	0.0481711936862073	3.83595563476964e-23	4.39031770098355
CD53	0.998993267302389	0.00684114073939724	1.29776914499605e-59	0.0885478829179271
CDC42BPA	0.982371688544362	0.0285077980137545	5.93015685194643e-33	1.53761808404601
CDK11B	0.999626245840816	0.00416901256000874	7.30862655815772e-69	0.0328842195526661
CEP104	0.999059785645778	0.00661137973393864	2.98678273835608e-60	0.0826999670381449
CEP350	0.199722158241094	0.149426116106233	0.188384455974633	42.2448866183309
CHI3L1	0.998947538280816	0.00699470856932024	3.37119379594343e-59	0.0925678935587142
CNTN2	0.989680113202242	0.0218521849963851	6.38021469539965e-38	0.903464035407926
CRYZ	0.999165132112991	0.00623015690875039	2.32303538513672e-61	0.0734377058636741
CYP4B1	0.995670344772582	0.0141754492488157	5.24973027573011e-46	0.380184839779678
CYP4X1	0.999999999898819	2.16936975982727e-06	4.61952064968109e-210	8.9040644729819e-09
DDX59	0.999624706835979	0.00417758549126254	7.98359586420831e-69	0.0330196012556394
DEPDC1	0.999920490279473	0.0019230131350699	2.59132965204985e-83	0.00699657724739639
DNAH14	0.523042440786225	0.129975543776189	0.000227521177264416	31.9627706260011
DNASE2B	0.999669143695865	0.00392251444740651	5.31699120198978e-70	0.0291105382644934
DPH2	0.999149173570833	0.00628939482562483	3.48969162322377e-61	0.0748408739197525
DRAM2	0.990679722412837	0.0207721233141271	7.20801548445989e-39	0.816362254401053
EFCAB2	0.99995986507293	0.00136627352063336	1.07247840871192e-89	0.00353180270638392
EFCAB7	0.934110001871553	0.054439747877073	7.49632749411231e-21	5.60729419375526
EPB41	1	1.63667067997637e-13	0	5.06808321060164e-23
FAM110D	0.969631290636438	0.0372967858889277	6.26476562907571e-28	2.63186704962343
FAM213B	0.997543667955488	0.0106821199467174	2.72611239416503e-51	0.21589174296406
FBXO2	1	1.05157983040227e-12	0	2.09221170432919e-21
FBXO42	0.994318370544581	0.016233025479638	1.78564082796883e-43	0.498563031893114
FBXO6	0.999270293314883	0.00582472855617997	1.28650220103763e-62	0.0641907595290136
FCRLB	0.984566088806205	0.0266892613074262	3.47676539496549e-34	1.34770313800546
FLG	0.999896367580766	0.00219541858481942	7.71865017267332e-81	0.00911918034678342
FLVCR1	0.992920618395689	0.0181137526865347	1.9932556723718e-41	0.62078040484788
FMN2	1	3.55851102894752e-13	0	2.3958397406023e-22
FMO3	0.887092884792374	0.0703919613788499	4.95677176631941e-16	9.37491340503274
FMO4	0.999738534839782	0.0034870589873888	3.37373564216139e-72	0.0230059260818529
FUBP1	1	3.56688956190722e-13	0	2.40713505698264e-22
GBP3	0.999986237307056	0.000800075526622762	1.08865682560079e-99	0.0012111086449849
GBP4	0.948204214278178	0.0484429100639865	4.88847969194328e-23	4.43998579310448
GNG12	0.996766180716059	0.0122542645455217	9.99881915625796e-49	0.284115963151686
GNPAT	1	1.41007407662548e-16	0	3.7618804417727e-29
GPX7	1	3.78470944666024e-13	0	2.71010564269495e-22
GRHL3	0.999028358894253	0.00672091169939747	6.05436283244625e-60	0.0854628775025171
GSTM3	0.999884907444497	0.00231361925627423	7.35956143038213e-80	0.0101275620472015
GSTM5	0.969659917715343	0.037279473738761	6.14076287325042e-28	2.62942433495613
HFM1	0.99978510844023	0.00316131022718306	4.97311013396712e-74	0.0189084254109152
HHAT	0.993648975790286	0.0171597913678677	1.94496754855787e-42	0.557115368080311
HHLA3	0.997972007323946	0.00970719296697105	4.44756987503251e-53	0.178282394303839
HRNR	0.99519719075956	0.0149281624784594	4.85873944664832e-45	0.421632266188371
HSPB7	0.986981838557891	0.0245266112510972	9.16436459607726e-36	1.13814141570295
IER5	0.993068582087762	0.0179241238443087	1.26756371138588e-41	0.60785081588893
IKBKE	1	3.05474643941984e-13	0	1.76551522309084e-22
ITGB3BP	0.999321838966154	0.00561530749495465	2.66438369980217e-63	0.0596579352733952
KCNK2	0.960537608849968	0.0424174991271801	1.59724059263244e-25	3.40417008733058
KLHDC7A	0.973193918250075	0.0350725485579595	4.43722118983824e-29	2.32731828916701
LAMC2	0.960988829665248	0.0421791498306089	1.2529821488379e-25	3.36602064737915
LEFTY2	0.613375365786739	0.120442079165164	7.46791279994816e-06	27.4459090684233
LGALS8	0.999994412239122	0.000509799106188518	4.17268119150797e-108	0.000491721583444798
LRRC39	0.998886366108204	0.00719500408576185	1.13514203018127e-58	0.0979452145384933
LRRC7	1	2.83678568572014e-13	0	1.5225591926529e-22
LYPLAL1	0.978269471595867	0.0316186730755602	5.11609281969584e-31	1.89150900151592
MCOLN2	0.999954057478562	0.00146178397028592	1.9599696500332e-88	0.004042849014985
MED8	0.9869724131003	0.024535430375214	9.30722103603925e-36	1.13896005427467
METTL18	1	2.22624591840696e-13	0	9.37707532241118e-23
MGST3	0.986817286378855	0.024680113123951	1.19862742656204e-35	1.15243230537045
MORN1	0.989279323154066	0.0222702329118843	1.4417452605979e-37	0.9383625143126
MR1	0.996423773974617	0.0128855991893807	8.67437159130235e-48	0.314145156960046
MTHFR	0.817363131106903	0.0878579074689168	7.37461863928682e-12	14.6043705239133
MYOC	0.982274982761119	0.0285851881638694	6.66399116102211e-33	1.54597776263234
NBPF3	0.999438044815946	0.00511176157339558	4.68836569651623e-65	0.049438161277097
NCF2	0.828795903502741	0.0853307314440067	2.07511703171888e-12	13.7762834148313
