gene	spearmans_rho	effect	stderr	pval	mse
ACADM	0.343489574941768	0.365275305062976	0.141960848804459	0.0136133282373598	38.1292538664906
ACAP3	0.102979332785091	-0.0409131949138404	0.152370883997822	0.78959038031187	43.9263488612054
ACBD3	0.0330698287220026	0.115901396340225	0.151470840414789	0.448348014926251	43.408942118361
ACOT11	0.145981554677207	0.138464179178977	0.151029619079072	0.364360204908432	43.1564175277088
ACOT7	0.045489019896706	0.111976024821908	0.151539492884987	0.463968280013341	43.4483002740637
ACP6	0.691172595520422	0.71510067573635	0.106599775683849	3.40886406060676e-08	21.4997650367023
ACTA1	0.146113306982872	-0.120144678638407	0.151393930648128	0.431791868235817	43.3648712725744
ACTN2	0.173913043478261	-0.219850457213042	0.148767477102123	0.146745744895507	41.8732941643815
ADAM15	-0.115810276679842	-0.0934364214708115	0.151831426959709	0.541536940268111	43.6158639462801
ADAMTSL4	-0.20152178936457	-0.166302036140544	0.150375006642348	0.274912318672331	42.7831198421224
ADAR	0.00862124003348359	0.0097928296720283	0.152491257887973	0.949093502545778	43.9957804214286
ADCY10	-0.0798661117830027	-0.154169018563194	0.150675372111105	0.311941698431662	42.9542042034715
ADORA1	0.0722276242715789	-0.0793469274265819	0.152017751802136	0.60437790846473	43.7229788647503
ADPRHL2	0.218181818181818	0.0784350418631204	0.152028756781592	0.608551458839966	43.7293095451489
ADSS	-0.0217391304347826	0.0461840974894343	0.152335846011301	0.763220089820188	43.9061492821198
AGBL4	0.32418010020058	0.386707805741914	0.140634531551149	0.00868843511055799	37.4201112110441
AGL	-0.0780492128497408	-0.201656811245185	0.149365676646154	0.184051819403619	42.2107193410507
AGMAT	0.169169960474308	0.188455913466551	0.149766047684573	0.215060266750103	42.4373122218975
AGRN	-0.0537549407114624	0.0609374546882647	0.152215164924304	0.690889952323792	43.8366115711091
AGT	0.406192358366271	0.111479627184318	0.151548003963043	0.465964195277786	43.4531808798052
AHCYL1	0.147694334650856	0.13380615283815	0.151127230663334	0.380872255782928	43.2122201923568
AIDA	-0.0568336740439075	0.0497287560423169	0.152309893006001	0.745632088101384	43.8911902361893
AJAP1	0.0474308300395257	0.12310026112086	0.151338702662387	0.420464937687638	43.333238331327
AK2	0.112384716732543	0.185344178436394	0.14985632929807	0.222869275815204	42.4884915628685
AK4	0.150461133069829	0.0966264884242645	0.151784985755539	0.527759261631135	43.589186156331
AK5	0.078129117259552	0.0978152676987697	0.151767276967916	0.522669478392642	43.5790156298208
AKIRIN1	0.0444651916886358	0.251560729366269	0.147594447447137	0.0955221493680789	41.2155567753913
AKNAD1	0.157788978600982	-0.0198806366424605	0.152468430608597	0.896864537646082	43.9826094526144
AKR7A2	0.00988142292490118	-0.0162468466746614	0.152478442240903	0.91564015264935	43.9883857588177
AKR7L	0.121159190349882	0.0638757396538901	0.152187146867642	0.676780937263111	43.8204751548814
AKT3	-0.00263556702783482	0.0313974452915387	0.152423385286096	0.837772177706958	43.9566248188833
ALDH4A1	-0.213278592310272	-0.0474106008970883	0.15232708343245	0.757120532377725	43.9010983365934
ALDH9A1	0.165876152832675	0.180863499824082	0.149983595570531	0.234454061772468	42.5606893549809
ALG14	-0.0545454545454545	-0.145409674544885	0.150877744020345	0.340556048809416	43.069665168145
ALG6	0.0986344079460818	0.174996028281168	0.150145386138702	0.250237018142687	42.6525611637759
ALPL	-0.00556262654615473	0.180429903095428	0.14999574025494	0.235596557182888	42.5675822030349
AMIGO1	0.116073781291173	0.197669879675223	0.149489567083209	0.193059312314054	42.280771221444
AMPD1	0.131193090909131	0.0562986878725043	0.152256703197138	0.713375010482715	43.8605401407287
ANGEL2	-0.0666666666666667	0.000954802337114434	0.152498500820118	0.995033387048493	43.9999598875099
ANGPTL1	-0.240841985221941	-0.0881203024423374	0.151905326414068	0.564874671286561	43.6583317410887
ANGPTL7	0.3795778823153	0.281853109052243	0.146315907424741	0.0606895574308272	40.5045882963737
ANKRD34A	-0.0919631093544137	-0.17187113583375	0.150229306330799	0.258928217550466	42.7002537573575
ANKRD35	-0.0646203849486691	-0.130584685658709	0.151192749293312	0.392546779152436	43.2496961543423
ANKRD45	-0.0739862308847193	-0.171022419828543	0.150251829839571	0.261323148418993	42.7130586043035
ANKRD65	0.183135704874835	0.323914557058082	0.14427681401872	0.0299586994170129	39.3834918279381
ANXA9	-0.0188405797101449	0.0809433675730264	0.151998177103967	0.597101284528591	43.7117195348213
AP4B1	-0.073759065494711	-0.104377516232813	0.151665584858103	0.495017803731606	43.520634700623
APH1A	0.0456611987572382	0.0399763665869765	0.152376666872963	0.794302687739461	43.9296831650381
ARF1	0.0294605062212146	0.209490715595798	0.149114724061957	0.167235416917979	42.0690001634831
ARHGAP29	-0.0344566329053501	-0.128437178451651	0.151235523327288	0.400444196592993	43.2741712124207
ARHGEF10L	0.0625823451910408	0.0263005204225016	0.152445818253302	0.863835294911594	43.9695644355223
ARHGEF19	0.322241847292796	0.312917763586182	0.144840126236452	0.0363557074466262	39.6916288222178
ARHGEF2	-0.0624498631217064	0.00412258894235243	0.152497274414104	0.978557809651466	43.9992521874581
ARID4B	0.102553032494305	0.0822344553018654	0.151982059403382	0.591244746728357	43.702449751893
ARNT	0.305807174315245	0.367057383274754	0.141853910880787	0.0131287018892531	38.0718306048735
ARPC5	0.0310935441370224	-0.0766971661592375	0.152049375755098	0.616539487713662	43.7411719669383
ARTN	-0.0256916996047431	0.0279784091523904	0.152438871364298	0.855238219768385	43.9655571793373
ARV1	-0.155599472990777	-0.174428137351687	0.150160753001112	0.251801683439577	42.6612922956009
ASAP3	-0.105155659472985	-0.164178918196776	0.150429252692338	0.281173429019983	42.8139924440684
ASH1L	0.333069828722003	0.242858379666826	0.147933030686312	0.107951700385542	41.4048715267266
ASTN1	0.0408971332150561	0.105184215836206	0.151652623309718	0.491671434446764	43.5131963525126
ATAD3A	0.266139657444005	0.30733284172314	0.145117957185308	0.0400112331120811	39.8440470735287
ATAD3B	0.0431476229085977	0.0240629761659931	0.152454413558423	0.875323975876781	43.9745228198335
ATAD3C	0.174457292415616	0.218478816302857	0.148814462821366	0.149346736377128	41.8997483003837
ATF6	0.162055335968379	0.144841843643161	0.150890445420853	0.342465262515058	43.0769169745222
ATG4C	0.220209638672953	0.124152353101289	0.151318714409963	0.416473924473256	43.3217925016542
ATP1A1	0.110217512290431	0.225198225611388	0.148581334642749	0.136923660845311	41.7685734039852
ATP1A2	0.0101449275362319	0.171856688694365	0.150229690694957	0.258968861758868	42.7004722562444
ATP1A4	0.443873517786561	0.103501216893172	0.151679550376323	0.498666144380895	43.5286499164718
ATP1B1	0.216337285902503	0.185558845801735	0.149850151100228	0.22232435839442	42.484988248768
