gene	effect	stderr	pval	mse
ACADM	0.329480825114469	0.143983395835503	0.0270949143772324	39.2234649788031
ACAP3	-0.174255496625236	0.150165414366949	0.252278648453791	42.6639409634193
ACBD3	0.131895542401759	0.151166284992646	0.387771235933139	43.23455689936
ACOT11	0.118991917881165	0.151415101968601	0.436255483108274	43.3770006330743
ACOT7	-0.0551821636224789	0.152266208807481	0.718823951923755	43.8660168679895
ACP6	0.726490524863397	0.104793431056743	1.61111908717255e-08	20.7773067604831
ACTA1	-0.0889753274400262	0.15189373512403	0.561089838484398	43.6516692087054
ACTN2	-0.194149794338649	0.149596811413465	0.20126799374997	42.3414577237634
ADAM15	-0.0934364214700922	0.15183142695972	0.541536940271238	43.615863946286
ADAMTSL4	-0.136219785679066	0.151077076431247	0.372261661054625	43.1835434795402
ADAR	0.00816732946500613	0.152493484018583	0.957534944480807	43.997064968094
ADCY10	-0.119312075922683	0.151409242793275	0.435013230505928	43.3736436557169
ADORA1	-0.0793469274266469	0.152017751802135	0.604377908464434	43.7229788647498
ADPRHL2	0.0562501181510057	0.152257120672679	0.713611752972599	43.8607806651519
ADSS	0.0107803542829824	0.152489708685273	0.94396778535509	43.9948864943075
AGBL4	0.217217670177274	0.148857391076841	0.151768000730275	41.9239252855613
AGL	-0.201656811245288	0.149365676646151	0.184051819403391	42.2107193410488
AGMAT	0.149498358225025	0.150784787407997	0.327003530949939	43.016610599073
AGRN	-0.0475214420229841	0.152326280203557	0.75657001746229	43.9006353521145
AGT	0.00366303296545804	0.152497547230713	0.980947561980808	43.9994096163377
AHCYL1	0.0921522623125952	0.151849677852701	0.547131596913109	43.6263502642295
AIDA	-0.110842345265732	0.151558874468437	0.468533306483916	43.4594148778237
AJAP1	0.12172331571846	0.151364601742645	0.425720838875807	43.3480711140622
AK2	0.0132841152676101	0.152485114201549	0.930982581753189	43.9922354203885
AK4	0.111555792220961	0.151546700548122	0.465657652541936	43.452433429766
