gene	spearmans_rho	effect	stderr	pval	mse
ACACB	0.292753623188406	-0.122850480255992	0.151343422771851	0.421415630317538	43.3359414180384
AKAP3	0.572463768115942	0.94304480594653	0.0507310496128382	3.5752206932379e-22	4.86932573499991
AMDHD1	0.39551172072788	0.939338607970692	0.0523056712598749	1.33582765878416e-21	5.17629110133004
ATN1	0.0179183135704875	0.541901997426648	0.12816615534686	0.000120720056714382	31.0790579081404
ATXN7L3B	-0.128692163337544	0.308135756860406	0.145078355360295	0.0394679032617651	39.8223036351389
BCL2L14	0.0155467720685112	0.443406953129839	0.136687580790045	0.00228340807951136	35.349172052309
BRI3BP	0.0638360947676588	0.243175732884789	0.147920906185983	0.107477744629175	41.3980847691816
C12orf65	0.316805071797388	0.169414801742784	0.150294178580299	0.265899948213583	42.7371394978199
C12orf75	0.237812911725955	0.425299582345679	0.138019232334988	0.00358671770414765	36.04129167129
C3AR1	-0.0772344489206448	0.00268844140042605	0.152498019223342	0.986016088257786	43.9996819804448
CAPRIN2	-0.300164839677456	0.576664409409766	0.124588453580512	3.38243453807243e-05	29.3681589924838
CCDC60	0.108959156785244	0.530552660756194	0.12926571463683	0.000177564397699227	31.614610463239
CCDC65	0.0960015740837029	0.963783252321762	0.0406693537966193	2.60633485416867e-26	3.12936107193985
CCDC77	-0.00909090909090909	0.444588020645436	0.136598332576783	0.00221523376754404	35.3030256435372
CCDC92	0.0341238471673254	0.0374047092652207	0.152391851680843	0.807275094699837	43.9384390598905
CDCA3	0.0553359683794466	0.333049357155832	0.143792334570904	0.0253817083610573	39.1194375307158
CLEC12A	0.226028525436365	0.790739008317383	0.0933525227577604	1.03283020258005e-10	16.4882001119106
CLEC2B	-0.117131657891535	0.0318293448301037	0.152421302058174	0.835571127488448	43.9554232835382
CLEC2D	-0.0795783926218709	0.335858209293112	0.143640318176422	0.0240976634521457	39.0367675830187
CYP27B1	0.168588958823064	0.33307793842225	0.143790794974681	0.0253683607309053	39.1185998252009
DDX11	0.645243129981133	0.987058004860543	0.024455224885552	8.08420361316473e-36	1.13152578179193
DDX55	0.0594202898550725	0.0478657245779731	0.152323773313709	0.754860829297834	43.8991903860675
DENND5B	-0.225955204216074	-0.143479691212938	0.150920707520072	0.347072064019536	43.0941974412153
DPY19L2	0.149802371541502	0.0997520647518471	0.151737956924348	0.514429472109995	43.5621791254207
DYNLL1	-0.175497575338222	-0.161498171741265	0.150496723330183	0.289211333030718	42.8524069830661
EIF2B1	-0.093424694446603	0.0927655274040468	0.151840993708416	0.544456364581079	43.6213605047198
EIF4B	-0.114715225773628	0.535827704701405	0.128758713489244	0.000148665470400176	31.3671015184747
ELK3	-0.037713482814074	0.0886818024424192	0.151897727061363	0.562387813825366	43.6539636682848
EP400NL	0.295915678524374	0.729534523985895	0.10430048031202	1.31038254704576e-08	20.5822926457576
ERP27	0.0715415019762846	0.321775184939162	0.144388101870616	0.0311241386628734	39.4442721357242
FAR2	0.0870547931360433	0.240059325000835	0.148039240593	0.11220136716497	41.4643469011263
GLIPR1L2	0.840739155237215	0.91072541204229	0.0629837970785181	4.05267504141338e-18	7.50548584985767
GNB3	0.130698287220026	0.889551442477356	0.06966668670817	3.16703365798124e-16	9.18272217220404
HAL	-0.0100868079401285	-0.0623532819487833	0.152201829606567	0.684078162941499	43.8289310021295
HOXC6	0.165785947343031	0.162969091486716	0.150459843612839	0.284782656060023	42.8314073096798
IKBIP	0.235441370223979	0.714003695896804	0.106770643365973	3.65706756239559e-08	21.568743778811
IQSEC3	0.143243067962822	0.378238243346167	0.141169190201341	0.0104113861458567	37.7051765758979
KANSL2	-0.267061834110169	0.116018163089343	0.151468761522154	0.44788782156562	43.4077505766685
KCNMB4	0.0525865003476538	0.0660961209573473	0.152165095682471	0.666190951442006	43.8077773229532
LRRC23	0.494909255217296	0.948170587433683	0.0484582143480976	4.95549805007328e-23	4.44279163352928
LYZ	0.304423729536998	0.382107023800392	0.140926685736287	0.00959106966317074	37.5757457839459
METTL1	-0.111725955204216	0.112808042634545	0.151525141479539	0.460633227540236	43.4400712027464
MGP	0.370223978919631	-0.251831025656071	0.147583727479267	0.0951545985434401	41.2095699187485
MLEC	0.00216876328692036	0.295675130960522	0.14568013838316	0.0486128021995592	40.153353544985
MRPL42	-0.13904249837353	-0.0712829264032539	0.152110634798108	0.641704435908741	43.7764247537491
NT5DC3	0.495652173913043	0.0783429975328915	0.15202986049546	0.608973417676417	43.7299444884527
NTS	0.389196310935441	0.491231622598524	0.132830674952565	0.000611451368376679	33.3824256902057
NUP107	0.305270092226614	0.391394936839708	0.140332661534658	0.00784511478576177	37.2596401503146
P2RX4	0.151646903820817	0.515455511165632	0.130678516944854	0.000290581535336929	32.309447104395
PARPBP	-0.374703557312253	-0.107148851499081	0.151620634573361	0.483570948900863	43.4948414393868
PEX5	0.55494071146245	0.798830106088553	0.091736536507462	4.8283773374337e-11	15.9223003106883
PFDN5	0.0641207330661023	0.000868262964373998	0.152498512849739	0.995483535632939	43.9999668292547
PIK3C2G	0.172322908859729	0.191762211712767	0.149668412892139	0.206973626017644	42.3819991829972
PPHLN1	0.471541501976285	0.0625494452555854	0.152199957743647	0.683136325338098	43.8278529435216
PRH2	-0.47056915101373	0.231719551518488	0.148347960649723	0.125618480648141	41.6374661755391
PUS7L	0.156126482213439	-0.200034060697542	0.149416413170277	0.187681091087836	42.2394004806775
PYROXD1	0.145386270631038	0.959926221460987	0.0427381560776982	2.20940156293157e-25	3.45583257147184
RAD52	0.455537842231945	0.431267084377632	0.137587917088169	0.00309908233498753	35.8163828850263
RAPGEF3	0.224447445689797	0.852698315837746	0.0796658110217622	1.05341487802322e-13	12.0078456153687
RBM19	-0.0383399209486166	0.181769755798331	0.149958114762711	0.232078384104771	42.5462292585887
REP15	-0.0223119773450491	-0.234055421353386	0.148262656601979	0.121744611270384	41.5895946283439
RIMKLB	0.164233700638818	0.0010865431709454	0.152498480314497	0.99434811870629	43.9999480546533
RPS26	0.248748353096179	0.64122565913249	0.117020138802478	2.07752149591717e-06	25.9085047790846
SETD1B	0.053099532367774	-0.103391510754263	0.151681290372047	0.499123858499818	43.5296486021738
SLC2A14	0.175290690006566	-0.116653770381574	0.151457408078185	0.445387353868091	43.4012435056536
SOX5	0.0302521045363523	0.343457810206878	0.143221793570923	0.0208930413790272	38.8096162347474
SPATS2	-0.111415386016905	0.0550840412252009	0.152267035049758	0.719303480268375	43.8664929297012
SPSB2	0.707509881422925	0.758261851892894	0.0994214618124742	1.61140544908838e-09	18.7017144144142
SSH1	0.13085994859824	-0.0510286480183395	0.15229989365244	0.739213626790944	43.8854273915825
STAB2	0.0770750988142292	0.580639425282946	0.12415836266144	2.89733765400901e-05	29.165745743512
STX2	-0.115678524374177	0.449797858458681	0.136201106996661	0.00193550040736485	35.0980030071433
STYK1	0.301185770750988	0.265788407982762	0.14701340883173	0.0776168787659556	40.8916869760075
TAPBPL	0.5133069828722	0.797982813852011	0.0919078695414442	5.23693520401984e-11	15.9818308670604
TAS2R14	0.0994729907773386	0.66940512849676	0.113290814704155	4.96295052374322e-07	24.2834580534584
TAS2R20	0.269169960474308	0.66807573049397	0.113473162314692	5.32795660003292e-07	24.3616920062977
TCTN2	0.292490118577075	0.94183021892545	0.0512530971767128	5.55935473215016e-22	4.97005690362892
TMBIM4	0.51699604743083	0.776745427534437	0.0960458394440886	3.56790830065504e-10	17.4533277953912
TMCC3	0.0990777338603425	-0.0553623306090752	0.152264687865964	0.717943746290954	43.8651405433794
TMEM106C	-0.069828722002635	0.402481968531104	0.139601448067332	0.00612644130779592	36.8723636603224
TMEM132B	0.0953886693017128	0.944523730392918	0.0500871154403135	2.06110103259195e-22	4.7464965998844
TSPAN11	0.206192358366271	-0.045848767064727	0.152338201667902	0.764890219350816	43.9075071845804
UBE3B	0.030961791831357	0.712104552206691	0.10706519495328	4.1271007048046e-08	21.6879126959663
USP44	0.22094861660079	0.307698671835354	0.145099927664204	0.0397629230648905	39.8341472034334
VAMP1	0.497628458498024	0.872272101182913	0.0745749788916928	6.02727890752517e-15	10.5222207859096
YEATS4	0.331884057971014	0.469068132334581	0.134680939694278	0.00115294812176362	34.3189038380385
ZCRB1	0.0221351164519436	0.937564115943765	0.0530409075334042	2.43895572953115e-21	5.32283525376182
