gene	effect	stderr	pval	mse
ADAM32	0.652285210434025	0.115589892960539	1.20547849914416e-06	25.2790561869577
ADHFE1	0.456209406031611	0.135704276453008	0.00163447110939108	34.8424110253245
ANKRD46	-0.0155871167928412	0.152480043817413	0.919054121164411	43.9893098387638
BIN3	0.295080468518144	0.14570817578529	0.0490888523094258	40.1688107523609
C8orf37	0.305622100907028	0.145201954903649	0.041189306324549	39.8901857832357
C8orf46	0.371970531475722	0.141555965077969	0.0118681047017709	37.9120686434014
C8orf76	0.143614333274631	0.150917729264878	0.346615017799459	43.0924966242357
CHMP4C	0.404808363730415	0.139444928585554	0.00581058666756495	36.7897283007718
CHRAC1	-0.0539791853935737	0.152276236716274	0.724710276261329	43.8717948919468
CPSF1	0.171868920423572	0.150229365273643	0.258934449898063	42.7002872644672
CSGALNACT1	-0.261291871043401	0.147200745552858	0.0829648623194326	40.9959685575721
CSMD1	0.757491249384009	0.0995579773948095	1.71095757226728e-09	18.7531083126927
CTSB	0.0387282376711751	0.152384162914447	0.800592098273879	43.9340054387029
DDHD2	0.00723849293668117	0.152494575139501	0.96236064004959	43.9976945856803
DPYS	0.171475289840908	0.150239825718592	0.260043395240052	42.706233898855
DSCC1	0.327638008532659	0.144081157311439	0.0280166531090913	39.2767467560492
EFCAB1	0.468956689002269	0.134689964737284	0.00115650816589643	34.3235034489613
FAM135B	0.18155146130465	0.14996426449504	0.232649112855781	42.5497189435184
FAM86B1	0.380042079339324	0.141056480352972	0.0100217110162772	37.6449927889835
FGF17	0.0865703606707357	0.151926050911048	0.571765637779825	43.6702451967469
GFRA2	0.0751174480056594	0.15206771510371	0.623838780384826	43.7517242362251
GGH	0.39222107851789	0.140279009814599	0.0077040501016393	37.2311555249156
GPIHBP1	-0.0814699349933874	0.151991634538173	0.594709634209666	43.7079565864556
GSDMD	0.535201804452962	0.128819237739816	0.000151855479717303	31.3965972544529
LEPROTL1	0.152210928485284	0.150721661939811	0.318201527046203	42.9806006629845
LRRC69	0.392237974204142	0.140277911171396	0.00770118816932683	37.2305723500581
LYNX1	0.270758846145575	0.146802322967642	0.0720244760391245	40.7743444782923
LZTS1	0.00991103379992234	0.152491080288821	0.948479856406907	43.9956779419967
MFHAS1	0.00493795062208322	0.15249671110778	0.974318290215054	43.9989271323208
MTUS1	0.0459588929266443	0.152337429943802	0.764341615400614	43.9070623270821
NECAB1	0.275561336102298	0.146594358059961	0.0669282087503198	40.6589018020027
NKX3-1	0.277085937003723	0.146527510196992	0.0653716465620831	40.6218288746498
NSMAF	-0.066709180230747	0.152158873922372	0.66327816453328	43.8041949520094
NSMCE2	-0.104405759174244	0.151665132772389	0.49490044778832	43.520375247855
NUDT18	0.351499394108173	0.142767348226308	0.0178999514677042	38.5637197414299
PCM1	0.00807373595026336	0.152493599925771	0.958021136903753	43.9971318506634
PEBP4	0.192193529038166	0.149655546163776	0.205934612491423	42.3747124854177
PHF20L1	0.0504084649802262	0.152304696644461	0.742273741781705	43.8881954129668
PIWIL2	0.433110850669966	0.137453162511685	0.00296070492899822	35.7462596054053
PLAT	-0.142001745804727	0.150953211924848	0.352113282823902	43.11276218429
PLEC	0.350709813090123	0.142812499208878	0.0181768073676719	38.5881155881008
PPP3CC	0.151615054285382	0.150735628364584	0.320122122471006	42.9885665138178
PSCA	0.274080245758852	0.146658916021096	0.0684683899948143	40.6947208309298
PTK2B	0.191711912686618	0.14966991142014	0.20709503138831	42.3828478714977
PTP4A3	-0.00677752783119927	0.152495067790351	0.964756051846039	43.9979788651259
RPL8	0.0770605731138667	0.152045102555005	0.614865445398673	43.7387133951399
SLC25A37	0.229252427030558	0.14843707653653	0.129809860031505	41.6875062868263
SLC26A7	0.133902197673985	0.151125252338495	0.380527380498221	43.2110888641554
SNX16	0.401696341351262	0.139654061743695	0.00623642210411554	36.9001621711805
TNFRSF10A	-0.0171121436124836	0.152476240965905	0.911164700201818	43.9871156798034
TRAPPC9	0.341873190085693	0.14330993586845	0.0215299040784597	38.8573997636278
TSNARE1	0.12519278156045	0.151298777830963	0.412548445914995	43.3103777675869
UBXN2B	0.127254220639949	0.151258777437359	0.40483354678295	43.2874799864901
VPS28	0.329261319698967	0.143995072860642	0.0272033643208424	39.2298272674042
WRN	0.0329587543118253	0.152415719792498	0.829821330051874	43.9522037026254
XKR6	-0.100694695292233	0.151723476923539	0.510442805539829	43.5538654469602
XKR9	0.744790406441706	0.101762062935293	4.45625072551601e-09	19.5926390207855
ZC3H3	0.452926169443745	0.135959799550422	0.00178298818215742	34.9737469414527
ZDHHC2	-0.0899152479001986	0.151880862749894	0.556942921374059	43.644270920582
ZNF34	0.28938910127451	0.145973392610827	0.05383852538022	40.3151737147954
