gene	effect	stderr	pval	mse
AARS2	0.0263182696017853	0.15244574701636	0.86374426939571	43.9695233421474
ABCF1	0.31261559470694	0.144855299888273	0.0365462010798592	39.6999455576252
ABHD16A	-0.119154079191444	0.151412136269132	0.435626030943325	43.3753014381297
ABT1	-0.0773918231808138	0.152041189775937	0.613341217863167	43.736462251009
ACAT2	-0.107347348700071	0.151617369282254	0.482756420333542	43.4929680559909
ACOT13	0.00291411711917217	0.152497922816308	0.984842368321289	43.9996263485423
ADAT2	0.467213648131241	0.134830764466086	0.00121347859851024	34.3953019079955
ADTRP	0.049329267955325	0.152312914088757	0.747608084720955	43.8929314262116
AGER	-0.0827125373979496	0.151976025967163	0.589082587638277	43.6989799909165
AGPAT1	0.140138584143246	0.150993699024113	0.358531809199395	43.1358917983104
AGPAT4	0.134725460445082	0.151108235527945	0.377578827980577	43.2013582135459
AHI1	-0.118165133981545	0.151430158981281	0.439472612118153	43.3856280488894
AIG1	0.0353465530857924	0.152403276317172	0.817694350790529	43.9450273321379
AKAP7	-0.0625296297732296	0.152200147098332	0.683231443712615	43.8279619976186
AKIRIN2	0.162891062190467	0.150461808633199	0.285016470708511	42.8325260817723
ALDH5A1	0.19767530222721	0.149489400331197	0.193046853034416	42.2806768951328
ALDH8A1	0.518619910336854	0.130387025731553	0.000262577429822811	32.1654690984965
AMD1	-0.074062406725559	0.152079749573918	0.628733711667495	43.7586494360408
ANKRD6	-0.114723906447506	0.151491685648699	0.453003108025658	43.4208907127347
ANKS1A	0.0701706799246455	0.152122661314993	0.646924821651002	43.7833473298722
APOM	0.204301117660527	0.149282084574625	0.178245709762441	42.163486346197
ARMC12	0.16425359118661	0.150427356939712	0.280951645913956	42.8129133424213
ARMC2	0.0773600794659843	0.15204156546928	0.613487214978788	43.7366783966207
ASCC3	0.0881666443645503	0.151904701063367	0.564669232057476	43.6579722841458
ATAT1	0.153796411804105	0.150684227328187	0.313126813011096	42.959253203512
ATF6B	0.438186265758441	0.13707855467278	0.00260746691099839	35.5516830460296
ATP6V1G2	0.502559551394833	0.131841509617351	0.000434763899587658	32.8870914812803
B3GALT4	-0.0122542334893888	0.152487119834384	0.936321882281654	43.9933926855098
BACH2	0.263313336895358	0.147116951311172	0.0805260548324059	40.9493078109734
BAG2	-0.284046891932504	0.146217213632344	0.0586269551602715	40.4499639800733
BAG6	0.137165062592749	0.151057185044538	0.368921379804398	43.1721728065728
BAK1	0.313526318432977	0.144809517839725	0.0359745382833285	39.674854896594
BEND3	-0.110047296262925	0.151572347648736	0.471749007379735	43.4671420737497
BEND6	0.318428306738112	0.144560554099585	0.0330224774263778	39.5385501925875
BMP5	0.309222984821798	0.14502454849598	0.0387418223465165	39.7927704089475
BMP6	0.0524530435222117	0.152288639517755	0.732200488929915	43.8789418419113
BPHL	0.187454124135568	0.149795282887863	0.217553242118485	42.453881859161
BRD2	0.111487640960096	0.151547866865452	0.465931937008138	43.4531022601787
BTBD9	0.280489353133468	0.146376841062739	0.0620007261805947	40.5383318022658
BTN2A1	0.27434835875259	0.146647257370128	0.0681875166012549	40.6882510341894
BTN2A2	0.461425020822237	0.135293561111092	0.00142103652928932	34.6318258070047
BTN2A3P	0.182198914568657	0.149946002337431	0.230959149614896	42.5393564433202
BTN3A1	-0.00511474146690515	0.152496575594013	0.973399144501375	43.998848934468
BTN3A2	0.50301694492044	0.131800938091988	0.000428711254848762	32.8668539374079
BTN3A3	0.182446566779429	0.149938999245228	0.230314965509828	42.5353830118976
BVES	0.196837633351045	0.149515103545751	0.194978307101045	42.2952176282574
C2	0.167788401058666	0.150336603139397	0.270584072692441	42.7612703086877
C6orf106	0.0392823144762004	0.152380864617621	0.797798500946221	43.9321035898533
C6orf120	0.472031123667959	0.134439976949062	0.0010618067241443	34.1962112047056
C6orf132	0.274455089124227	0.146642612866207	0.0680759611655904	40.6856737783678
C6orf136	0.0349330803409299	0.152405493392561	0.819791339017931	43.9463059155073
C6orf163	-0.0840182592915128	0.151959368200357	0.583195383874722	43.6894010126475
C6orf201	0.0694631088608235	0.152130213236035	0.650254607069755	43.7876945663251
C6orf203	-0.105287964758912	0.151650949013426	0.491241912631428	43.5122355569848
C6orf226	-0.249517505344464	0.147675084460405	0.0983361164675437	41.2606046391737
C6orf48	0.0500948361916671	0.152307103117882	0.74382275373005	43.8895823250249
C6orf52	0.0354435876898323	0.152402752225322	0.817202407133924	43.9447250920336
C6orf62	-0.0660504520833946	0.152165556853541	0.666408130006494	43.8080428623015
C6orf89	0.201262676197545	0.149378038855519	0.184928655611282	42.2177067474713
CAPN11	0.171388942931143	0.150242117019608	0.260287077212827	42.7075365306016
CCDC167	0.0876277816726029	0.151911952151539	0.567060213887733	43.6621403626821
CCHCR1	0.110296782209974	0.151568130343016	0.470738660637681	43.4647232727015
CD109	-0.0278758755110764	0.15243930821001	0.855763111231511	43.9658091648376
CD164	-0.0735418893703107	0.152085623872063	0.631154514283246	43.7620299823452
CD24	0.00504739101727252	0.152496627781542	0.973749299386827	43.9988790491324
CD2AP	-0.0747604564798226	0.152071806336634	0.625493286489968	43.7540784624649
CD83	0.0249690902106807	0.152451024887221	0.870668338328077	43.9725679594982
CDC5L	-0.0796455049998913	0.152014120636432	0.603014066394589	43.7208901154657
CDK19	-0.00136213748826226	0.152498428858202	0.992914589963941	43.9999183615844
CDKAL1	0.367876903588074	0.141804531679355	0.0129108245845105	38.0453296874838
CDKN1A	-0.0522581793080878	0.152290197480765	0.733158661869625	43.8798396385978
CDSN	0.00553035114330511	0.152496238246874	0.971238502326596	43.9986542695142
CDYL	-0.0164700142922496	0.152477885444141	0.914485642025921	43.9880644996854
CENPQ	0.236806932503131	0.148161012095222	0.117297798021688	41.5325889756121
CEP57L1	0.00765813806888566	0.152494098469212	0.960180232499899	43.997419528538
CEP85L	-0.132107506896103	0.151161980471412	0.387002255786833	43.2320946913546
CFB	0.0729748012907653	0.152091976331993	0.6337962569868	43.7656858485692
CGA	0.035752296602136	0.152401075294356	0.815637785084412	43.9437580246576
CLIC1	0.318974379691081	0.14453255407827	0.0327063787548651	39.5232351844304
CLIC5	0.0168073147321636	0.152477029468757	0.912741020330009	43.9875706235457
CLVS2	0.198739258609118	0.149456589877626	0.190613236346657	42.2621191118499
CMAHP	0.127020462826277	0.151263346674123	0.405704173714236	43.2900952890295
CNKSR3	0.0231404666943041	0.152457734806578	0.88006813256226	43.9764388272515
CNPY3	0.12664599229714	0.151270648610523	0.407101128940481	43.2942748759432
CNR1	0.108984852062193	0.151590198954591	0.476064483638609	43.4773812889232
COL11A2	0.226438651499055	0.148537485450274	0.134716999743792	41.7439236327207
COL12A1	0.0456949686258431	0.152339276329551	0.765656573410707	43.9081266730605
COL19A1	0.0876085078579727	0.151912210675595	0.567145820133226	43.6622889714396
COL9A1	0.220406741621192	0.148748333447606	0.145700464035692	41.8625182029089
COQ3	0.206390963286067	0.149215216060705	0.173750944408798	42.1257218920494
CPNE5	0.321519797333997	0.144401331882209	0.0312657364668695	39.4515008765814
CRISP2	0.386566588084165	0.14064356010662	0.00871501079245045	37.4249160109866
CRISP3	0.225237912686123	0.148579935630059	0.136852645433051	41.7677868383071
CSNK2B	0.118740323391621	0.151419695164601	0.437233082983333	43.3796323664375
CTGF	-0.0967755203267661	0.151782777668851	0.527119844836522	43.5879179412813
CUL7	0.26625806905321	0.146993643325941	0.0770742832505274	40.8806921892185
CUL9	0.192217976475	0.149654815967687	0.205875829964949	42.3742989788737
CUTA	0.0802100442556906	0.152007217454143	0.60043902352059	43.716919347222
CYB5R4	0.161476256913505	0.150497270194914	0.289277651138036	42.852718411941
CYP21A2	-0.0465109817417644	0.152333533129623	0.761593049404728	43.9048160574064
CYP39A1	-0.107948109969825	0.151607449466748	0.480295598236099	43.4872770443735
DAAM2	0.200529958208915	0.149400953879207	0.186566655598926	42.2306603778721
DCBLD1	0.270167290782934	0.14682766634542	0.0726728666720965	40.7884239396044
DCDC2	0.227514262377651	0.148499256940804	0.132825095145325	41.7224394582491
DDO	0.355445118346884	0.142539979527848	0.0165692356478576	38.4409857851083
DDR1	0.284042868571782	0.146217395396695	0.0586306858709835	40.4500645477946
DDX43	0.115290113978087	0.151481688940152	0.45076138290768	43.4151603432325
DEF6	-0.179860946407337	0.150011630553555	0.237101472425566	42.5766017581281
DLL1	-0.0522420892529448	0.152290325862829	0.733237796735385	43.8799136208614
DNAH8	0.213473523802266	0.148983302844331	0.159126096054827	41.9948784039595
DOPEY1	0.18952343113086	0.14973471650489	0.212425655254507	42.419558238305
DSE	-0.205016343197558	0.149259279562086	0.17669813147499	42.1506051569636
DSP	0.0141729828485909	0.152483253106936	0.92637675187368	43.9911615685156
DST	-0.218721876922512	0.148806159268272	0.148883373026483	41.8950725844417
DTNBP1	0.0939558270890122	0.151823972626504	0.539281914435997	43.6115813124649
DUSP22	0.233930559179231	0.148267239358617	0.121949379184598	41.5921657132121
DYNLT1	0.133664580187873	0.151130144131443	0.381380948614453	43.2138863201408
ECI2	0.181914950116734	0.149954020156259	0.23169930633535	42.5439058406572
ECT2L	0.13742305566602	0.15105173176466	0.368012855505446	43.1690557659422
EDN1	0.305927978332839	0.145186974243814	0.0409766133030751	39.88195517122
EEF1A1	0.100965637711406	0.151719289448419	0.509299799426155	43.5514613600673
EEF1E1	0.43995261415309	0.136946917003418	0.00249355681315515	35.4834346811939
EFHC1	0.0438899420630799	0.152351618471319	0.774667101340898	43.9152416113708
EHMT2	0.0235216420690999	0.152456378233432	0.878107362363381	43.9756562235924
ELOVL2	0.371006186512394	0.141614807527036	0.0121070221793117	37.9435940210593
ELOVL4	0.202524816677264	0.149338362384766	0.182131238456177	42.195282739713
ENPP3	0.021828493827018	0.152462234504708	0.886822288215514	43.9790347417187
ENPP4	0.0176584711043309	0.152474792304602	0.908340398776319	43.9862798495233
ENPP5	-0.0101853773425509	0.152490659880836	0.94705574068055	43.9954353558891
EPB41L2	-0.128556130932959	0.151233172902099	0.400004356911316	43.2728261327801
EPHA7	-0.13125744757106	0.15117920080096	0.390091578842763	43.2419452281137
ERVFRD-1	-0.219692126491897	0.148772916511652	0.147044263634046	41.8763562605286
ETV7	0.207283004194604	0.149186457095628	0.171857460409898	42.1094852715706
EXOC2	0.246997284507533	0.147773580847242	0.101894468312477	41.3156630236198
EYA4	0.161821196542399	0.150488653698047	0.288234949515417	42.8478116153818
FAM135A	0.190659168494116	0.149701181542084	0.209647458598793	42.4005595846418
FAM162B	0.277302090409434	0.14651800037479	0.0651533115803169	40.6165562288005
FAM184A	0.188262032802563	0.149771718307458	0.215541186607871	42.440525908222
FAM46A	0.00861129802792258	0.152492916003691	0.955228861136552	43.9967372040361
FAM83B	0.145787739643835	0.15086925919943	0.339288538328544	43.0648211386598
FAM8A1	-0.247785791656483	0.14774287858753	0.100770692451888	41.2984968639395
FBXL4	0.139916721731908	0.150998483819571	0.359300816835657	43.138625683111
FBXO5	0.0334669239945478	0.152413144537695	0.827237096139481	43.9507184599271
FGD2	-0.0713570591060456	0.152109826457784	0.641357093230489	43.7759594850924
FGFR1OP	0.00875668160751867	0.152492723465533	0.954473780257705	43.9966261031979
FHL5	0.145109861327928	0.150884456652086	0.341563287516987	43.0734976383971
FIG4	0.144370110669489	0.150900958674755	0.344056376451039	43.0829199303923
