gene	effect	stderr	pval	mse
ABCD4	0.0777462856640602	0.152036984107176	0.611711964069789	43.7340426628795
ABHD4	0.172207545358327	0.150220346787231	0.257983000346728	42.695160698153
ACOT1	0.29424895503892	0.14574727668751	0.0497608306685056	40.1903723081742
ACOT2	0.399071369089448	0.139828968816565	0.00661642068447252	36.9926498644152
ACOT4	0.301599354974509	0.14539743680596	0.0440714209918173	39.9976644794742
ACTN1	0.0713591891236765	0.152109803219667	0.641347114326799	43.7759461096149
ACTR10	0.21055238821559	0.149079945137665	0.165045074481957	42.0493784399353
ACYP1	0.0291715169894533	0.152433670103802	0.849135046904386	43.9625569942475
ADCK1	0.481115729007856	0.133688953058195	0.000821062711481783	33.8152168332545
ADSSL1	0.416367336357161	0.138651163516688	0.00444227263996142	36.3720826134531
AHNAK2	0.1343240332085	0.151116546283078	0.379014857015441	43.2061103805145
AHSA1	-0.126578830102397	0.151271955913222	0.407351968569085	43.295023189876
AJUBA	-0.199339569132942	0.14943799648963	0.189249783651691	42.2516043918273
AKAP5	0.0910853647287337	0.151864647227371	0.551800599759517	43.6349520786183
AKAP6	0.0893674093411117	0.151888382070799	0.559358226760804	43.648592510497
AKT1	-0.029020164616166	0.152434341949945	0.849908793141333	43.9629445220086
ANG	-0.0721905960196321	0.152100679466269	0.637456850868072	43.7706947852385
ANGEL1	0.0122876808863791	0.152487057239442	0.936148433527486	43.9933565675311
ANKRD9	0.194467156288818	0.149587224700518	0.200518007519829	42.3360311054974
APEX1	0.0709658341244557	0.152114082829457	0.643190998715628	43.7784094170289
APOPT1	0.154714703064548	0.150662363987243	0.310211245712791	42.9467878688486
ARG2	0.248505273327925	0.147714773011275	0.0997536252441559	41.2827856816414
ARHGAP5-AS1	0.0346821980984668	0.152406825911887	0.821064332615764	43.9470743859426
ASPG	0.0509086895085285	0.152300827261303	0.739805218599868	43.8859654346311
ATG2B	0.196517956232024	0.14952488265187	0.195718994119654	42.3007504866491
ATL1	-0.175965796172233	0.150119025534351	0.247580262707613	42.6375856974088
ATP5S	-0.112679753223971	0.151527361349429	0.461146616807853	43.4413440213889
ATP6V1D	-0.0517416759388835	0.15229429885732	0.735700314407064	43.8822031547256
ATXN3	-0.236002649096328	0.148190853499529	0.118584709703242	41.5493209832587
BAG5	0.0499407330381939	0.152308280034477	0.744584235870417	43.8902606200787
BATF	0.0940518440920077	0.151822590057261	0.538865549290992	43.6107870274073
BAZ1A	-0.206611706373411	0.149208111475173	0.173280992045802	42.1217105227366
BCL11B	-0.0439039107565847	0.152351524871608	0.774597256687322	43.9151876512922
BCL2L2	0.0316679705544944	0.15242208376596	0.836393380080801	43.9558741442022
BEGAIN	0.0566687031240347	0.152253510906648	0.711572327500103	43.8587009557946
BMP4	0.0830555361005015	0.151971675598636	0.587533524380177	43.6964782286146
BRMS1L	0.0168410566418952	0.15247694288609	0.912566518969544	43.9875206676921
BTBD6	0.127506848289569	0.151253829752726	0.403893852254991	43.2846481601275
BTBD7	-0.330409884690126	0.143933875975972	0.0266398758058243	39.1964895563585
C14orf119	-0.0307519084630161	0.152426445862509	0.841064247492877	43.9583900855388
C14orf132	0.232102620943868	0.148334033272095	0.124976916901017	41.6296484274434
C14orf39	0.314178491558955	0.144776642360098	0.0355697031749877	39.6568425194366
C14orf93	-0.05996852203143	0.152224113877224	0.695565647905412	43.8417661600761
CATSPERB	-0.128560260394882	0.151233091266829	0.399989092812614	43.2727794156768
CBLN3	0.387982364275988	0.140552868891887	0.00845171981209055	37.3766661404758
CCDC85C	0.21658198493096	0.148878930350818	0.152999321002697	41.9360587273481
CCDC88C	-0.0281980697664502	0.152437930095044	0.854113938716398	43.9650142299036
CCNB1IP1	-0.035846799708099	0.152400559035071	0.815158958662762	43.9434603058302
CCNK	0.0786677437705708	0.152025960611234	0.607485244103638	43.7277009879621
CDC42BPB	-0.161561709544463	0.15049513737096	0.289019112358364	42.8515038163991
CDCA4	0.134798204745041	0.151106726798191	0.377318945809179	43.2004955358906
CDH24	0.413697257058764	0.138836911141802	0.00473043225887288	36.4696014980904
CDKL1	-0.174434204714938	0.150160589093381	0.251784931808408	42.6611991619205
CEP128	0.0685867340408868	0.152139460189748	0.654388123039828	43.7930178361986
CHD8	0.0302954189317882	0.152428571727475	0.843393847982429	43.9596162540369
CHMP4A	-0.184339859543921	0.149885135569637	0.225430910773592	42.5048279120664
CHURC1	0.249144477130726	0.147689730517578	0.0988566807899351	41.2687892986713
CIDEB	-0.0191862216879894	0.152470499540635	0.900448559226501	43.9838031114829
CINP	0.234283471600034	0.148254279904889	0.121371289360816	41.5848952171416
