gene	spearmans_rho	effect	stderr	pval	mse
ABCA2	0.92463768115942	0.953509404143051	0.0459574667392312	5.04987217396271e-24	3.99607191327362
ABO	0.947562582345191	0.947504503886234	0.0487602619170193	6.47766343466416e-23	4.49834946507328
ACO1	1	1	2.37471289754087e-13	0	1.06694824661533e-22
ADAMTS13	0.994071146245059	0.999115922469523	0.00641106142189017	7.95439665995146e-61	0.07776443258653
ADAMTSL2	0.818056057584962	0.880330422155094	0.0723393726349262	1.61421142327122e-15	9.90080730444223
AGPAT2	0.780368906455863	0.892988344088492	0.0686365245030851	1.66289451113584e-16	8.91315996217205
AGTPBP1	0.87733860342556	0.946725704618778	0.0491108002648399	8.82125152061674e-23	4.56325936941947
AIF1L	0.985332500884745	0.997957156733796	0.0097426338588156	5.20218570944424e-53	0.179586586247131
AK3	0.999341238471673	0.999962618894637	0.00131856875700644	2.32641927777284e-90	0.00328947578867602
AK8	0.800986209457311	0.997656560706368	0.0104340530147636	9.92446539351068e-52	0.205981022699786
ALAD	0.647562582345191	0.749142286353801	0.101016442916269	3.23065894842399e-09	19.3065767310504
ALDH1B1	0.301458964518388	0.623517608728325	0.119224801501852	4.75433425602979e-06	26.8939348306513
ANGPTL2	0.613347389169498	0.666151017983012	0.113736008210793	5.90078657665939e-07	24.4746841345687
ANKRD18A	0.535267275770765	0.687422323995605	0.110753292614447	1.82879628506332e-07	23.2078241327892
ANKRD18B	0.425156283969985	0.495029266488895	0.132502393600097	0.000546107789119977	33.2176251140565
ANKRD19P	0.999207554645711	0.999911482736579	0.00202901449063205	2.60346063613766e-82	0.00778917442764462
ANKS6	0.981949934123847	0.978217561607078	0.0316560006301394	5.38262150410457e-31	1.89597769519407
ANXA2P2	0.400420306166199	0.434181973681008	0.137374552815191	0.00288283740979538	35.7053846041404
APBA1	0.927121803421885	0.977757511772161	0.0319848249531189	8.39788221828502e-31	1.9355709196169
APTX	0.918708827404479	0.924577182610535	0.0581011614573827	1.24346155186823e-19	6.38690946942244
AQP3	0.964404253289257	0.993392853218474	0.0175012552204057	4.53919313993108e-42	0.579508123676263
ARPC5L	0.979677377148269	0.999144521135495	0.00630655968006298	3.92361124091524e-61	0.0752499389365871
ARRDC1	0.81396526508175	0.962884443350979	0.041161493846113	4.37564397570981e-26	3.2055561451177
ASPN	0.982167105684754	0.972477594306509	0.0355316199081637	7.76723205118055e-29	2.38864245716023
ASS1	0.759779361843899	0.79648909370794	0.0922087020567138	6.03758415952155e-11	16.0866254385894
ATP8B5P	1	0.998024883274352	0.00957993587056379	2.52153598144335e-53	0.173638624069545
AUH	0.945129758254867	0.981226100319763	0.0294110167823058	2.27009163712522e-32	1.63659496225589
B4GALT1	0.968740736386401	0.994352010791113	0.0161850337382612	1.57212849230065e-43	0.495619459969571
BAG1	0.209343133352216	0.833378886843415	0.0842862827764428	1.21564445393906e-12	13.4411037623997
BICD2	0.620675837049872	0.725224423147516	0.104997180036369	1.75428585423845e-08	20.8581795870955
BNC2	1	0.999995100103391	0.00047739041620708	2.47641744837955e-109	0.000431189845148211
BRD3	0.816205533596838	0.884801860423226	0.0710593704917818	7.45566880181143e-16	9.55352938283028
C5	0.918870846046754	0.956003607689904	0.0447362040794619	1.58209193255815e-24	3.78651249169109
C9orf106	0.991828127059444	0.989840491412128	0.0216825948636961	4.56323392257643e-38	0.889495268683855
C9orf129	0.724452176377259	0.727672060415192	0.104602611520949	1.4874432069353e-08	20.7017083896088
C9orf139	0.952375418159815	0.996865350994192	0.0120652026912942	5.12323616351346e-49	0.275416767437969
C9orf152	0.808068673396597	0.81228379630281	0.0889466830451915	1.25972971791043e-11	14.9685815076114
C9orf163	0.966930171277997	0.972784893994902	0.035335452259777	6.1199556617633e-29	2.36234020067444
C9orf170	0.868414092022097	0.993337367679011	0.0175743430672378	5.43034731495294e-42	0.584358454791479
C9orf24	0.402795143182711	0.923841768000645	0.0583725779234468	1.52052942998194e-19	6.44672105868742
C9orf40	1	1	2.41591877828822e-13	0	1.10429674238965e-22
C9orf43	0.901652187538878	0.993532779665422	0.0173155500287366	2.86883292360352e-42	0.567275092133213
C9orf64	0.42366349375729	0.866464295404077	0.0761332407293396	1.47587020860905e-14	10.9665434907564
C9orf66	0.451383399209486	0.666931225970357	0.11362962476332	5.66201644184091e-07	24.4289205523298
C9orf72	0.943083003952569	0.971716731901719	0.0360124632632187	1.38553211829251e-28	2.45373008945861
C9orf78	1	1	2.64780645751675e-13	0	1.32645831369963e-22
C9orf84	0.937121469270123	0.97439682965046	0.034287030013441	1.67335824122104e-29	2.22423600815381
C9orf85	0.573006332233223	0.672968488632895	0.112798793217522	4.0959650969654e-07	24.0729901855149
CA9	0.991792006391696	0.999409747493144	0.00523884554940028	1.34780940810281e-64	0.0519268910903713
CACNA1B	0.86060606060606	0.979534343192759	0.0306944698094315	1.42696225066109e-31	1.78254870226094
CARD9	0.781422924901186	0.825743696581771	0.0860161352569731	2.93729296405254e-12	13.9984832924408
CBWD1	0.604406505114574	0.835376725049757	0.0838250846683407	9.57999997600271e-13	13.2944119987863
CCDC107	1	1	1.41984064248242e-13	0	3.81417257548491e-23
CD274	0.873128962722775	0.921757416779393	0.0591339167251756	2.66023307544708e-19	6.61598364293592
CD72	0.28997348621162	0.591216496877764	0.122992063822208	1.90003225475058e-05	28.6203743680617
CDC14B	0.989036341508623	0.992714937090581	0.0183740550633449	3.68215321835079e-41	0.638750361798812
CDC26	0.648716444956985	0.670050508186647	0.113202054020195	4.79425853576197e-07	24.2454219250679
CDK20	1	0.999998216305326	0.000288032062379757	9.08258547680752e-119	0.000156964991269929
CDK5RAP2	0.910801644991435	0.999730695566248	0.00353894065946951	6.36671959349693e-72	0.0236955990754384
CDK9	0.643478260869565	0.589606492543033	0.123171669193391	2.02800255983936e-05	28.7040240938485
CDKN2B	0.631229175425698	0.605517110918013	0.121363285930119	1.0483731722786e-05	27.8673572489621
CEL	0.517888920969541	0.357977334286201	0.142392532151431	0.015760157735154	38.3614980380432
CENPP	0.987152459646804	0.995013483643918	0.0152102836745535	1.08700487675253e-44	0.437719364139057
CEP78	0.855587176677267	0.994172203455118	0.0164399045696849	3.07855862696802e-43	0.511351714596573
CERCAM	0.782345191040843	0.825451313991819	0.0860813741878809	3.03563764696312e-12	14.0197256420839
CHMP5	0.0930806185471216	0.125999170817684	0.151283209612107	0.409520591249017	43.3014651939433
CIZ1	0.92068511198946	0.972173987938123	0.0357243116933664	9.8038492976122e-29	2.4146204357654
CKS2	0.934387351778656	0.941214434699566	0.051515495052838	6.92880263182812e-22	5.02107706817975
CLIC3	0.79235836627141	0.811521127983878	0.089108433922838	1.3632908951248e-11	15.0230721887741
CLTA	0.964122617542978	0.964882559213407	0.0400585754039058	1.35822724281446e-26	3.03607246473465
CNTFR	0.67508337373288	0.897194918005405	0.0673486725936202	7.33171478206468e-17	8.58181628063205
CNTLN	0.8433465085639	0.84817742610354	0.0807803588043953	1.92408795109857e-13	12.3461823693285
CNTNAP3	0.399546988133614	0.874868011864662	0.0738644203955564	3.98213718988986e-15	10.3226623199028
CNTRL	0.377733860342556	0.207716473750251	0.149172435458974	0.170942756198566	42.1015701274415
CORO2A	0.944708055300459	0.9853249507855	0.0260298314370411	1.18482045729969e-34	1.28192861982034
CRAT	0.983135704874835	0.98464554040746	0.0266210092568538	3.11404108525151e-34	1.34081902925082
CTNNAL1	0.980458155552029	0.994473744071998	0.0160101511050059	9.85270767471858e-44	0.484966783462492
DAPK1	0.911682446534185	0.987644891902247	0.0238978287908392	2.99793746602933e-36	1.08053296997357
DBH	0.945419810124532	0.92045584323291	0.0596035430229851	3.7430475569942e-19	6.72148578896925
DCTN3	0.674371597025983	0.781201317532215	0.0952016832817194	2.42795742010413e-10	17.147878065381
DDX31	1	1	4.66146086382009e-13	0	4.11116792922806e-22
DDX58	0.77536231884058	0.743229724058718	0.102027079998013	4.99325681577026e-09	19.6948214001265
DENND1A	0.956318346643386	0.921880470160496	0.0590892896950585	2.57493354881886e-19	6.60600154441312
DMRTA1	0.997101449275362	0.992330471517824	0.018850843727471	1.10833495740033e-40	0.672330353077413
DNAJA1	-0.0225532250286463	0.527899621831474	0.12951806817208	0.000193944591884558	31.7381675278882
DNLZ	0.982740447957839	0.99696175949757	0.0118785032526611	2.61980818648656e-49	0.266959004378426
DNM1	0.481720725481023	0.98747623501434	0.0240593671174198	4.0059061702653e-36	1.09519015240376
DOCK8	0.627326969032236	0.694075099056449	0.109784117637041	1.24221468887731e-07	22.8034293022704
DOLPP1	0.783718034483743	0.98745737789792	0.0240773592555348	4.13684076617459e-36	1.09682878073841
DPM2	0.951683826267761	0.989011481965507	0.0225451941665866	2.44431570203471e-37	0.961676695777203
DPP7	0.999868247694334	0.999990619155526	0.000660542429428063	2.87069938320395e-103	0.000825510441633385
ECM2	0.981211394507699	0.994102702188864	0.0165373555299962	3.96960761525907e-43	0.51743197003504
EDF1	0.544664031620553	0.508832999947485	0.131280719830343	0.000358092571130807	32.6079150392355
ELAVL2	0.994729907773386	0.995641455153747	0.0142225605087928	6.0549456567087e-46	0.382716082290509
ENDOG	0.881604962193226	0.998727899302157	0.00768959302080213	1.97981846950101e-57	0.111873658841976
ENG	0.903293807641634	0.847725381227904	0.0808906350433784	2.04135611270532e-13	12.3799138329682
ENTPD2	0.46403162055336	0.495896949349455	0.132426918470099	0.000532088494449608	33.1797934875398
ENTPD8	0.0996922606723219	0.0264769786236119	0.15244510789461	0.862930418137507	43.9691546625305
ERMP1	0.549013157499603	0.85697901218278	0.0785903379880443	5.84427416307277e-14	11.685826797842
EXD3	0.700658761528327	0.741489406308748	0.102321138366204	5.66333390906215e-09	19.8085122546036
EXOSC3	0.859933438458235	0.961257002385375	0.0420367987643055	1.08317215116076e-25	3.34333891606356
FAM120A	0.999068178288554	0.999954799236254	0.00144993571938343	1.38123587323524e-88	0.00397757731293072
FAM120AOS	0.837115847484665	0.93478860584447	0.0541681839131613	6.04171576846381e-21	5.55149154486752
FAM122A	0.534782608695652	0.468965585008919	0.134689244410739	0.00115622362468108	34.3231363233987
FAM129B	0.332465185249901	0.558782652739394	0.126469221092183	6.62442585088634e-05	30.2615256678912
FAM157B	0.744268774703557	0.806317071823953	0.090200394430794	2.31556217097403e-11	15.3935223061508
FAM166B	0.540943976564676	0.637652384667352	0.117473345450573	2.46562620836113e-06	26.1095751984337
FAM201A	0.870688478949697	0.993905234252946	0.0168111157333452	8.04341350040629e-43	0.534704954282258
FAM206A	0.984321475625823	0.993476787281138	0.017390102192586	3.4511184554172e-42	0.57217041787616
FAM214B	0.304044021723738	0.224420299361048	0.148608704965438	0.138321212084157	41.7839632863267
FAM69B	0.634387351778656	0.794991903221455	0.0925086889460622	6.95476948068078e-11	16.1914664477425
FANCC	0.244077840333853	0.723778527045966	0.105228946829589	1.93230733771349e-08	20.9503643266355
FANCG	0.393763457555575	0.99053639882077	0.020930473283894	9.99301277106154e-39	0.828856274891718
FBP1	0.769861951654	0.820357209715482	0.0872065242475862	5.33680120446554e-12	14.3886181325844
