gene	spearmans_rho	effect	stderr	pval	mse
ALDH16A1	0.867720685111989	0.869286760550532	0.0753812832132324	9.60179387087532e-15	10.7509832289888
AMH	1	0.999996459501543	0.000405800511726907	2.28926328310384e-112	0.000311563312661315
ANGPTL4	1	0.999984123944964	0.000859310946558271	2.34814157156586e-98	0.00139708175303925
ANKLE1	0.969433465085639	0.994670092516349	0.0157239315853392	4.53523127762695e-44	0.467781910354808
AP2S1	0.969525266012281	0.999496339175598	0.00483944061388356	4.45301380727463e-66	0.0443109908814384
APOE	1	0.999999922222456	6.01461554798403e-05	5.10730087343172e-148	6.8444235559577e-06
ASPDH	0.993280632411067	0.997355609106509	0.0110829735156454	1.32914489100653e-50	0.232398715286558
ATF5	0.568642951251647	0.678906105958078	0.111968278241614	2.95710117191737e-07	23.7198059688849
BSG	1	0.99999613289586	0.000424104893928996	1.52617981375618e-111	0.000340304506315162
C19orf24	0.984189723320158	0.996444340903423	0.0128485593089263	7.6642826607569e-48	0.312341721187973
C19orf44	0.976843770087559	0.999622741350385	0.00418850857383115	8.93231545174983e-69	0.033192498906224
C19orf54	0.997364953886693	0.997808657276405	0.0100901557646467	2.34839761272721e-52	0.192626872427344
C19orf71	0.91501976284585	0.92229064877953	0.0589402454942827	2.30897432645925e-19	6.5727182036486
C3	0.665480895915678	0.750465879845642	0.100787707259334	2.92581500364712e-09	19.2192423802503
CAPS	0.999868073878628	0.999987803071429	0.000753190243981823	8.1125885028829e-101	0.00107332316854682
CC2D1A	0.915546772068511	0.932218510757228	0.0551886085738326	1.35150671080222e-20	5.76262052086933
CCDC106	0.966534914361001	0.992070470210851	0.0191664569736142	2.26388654392599e-40	0.695032013967298
CCDC114	0.99802371541502	0.997561264820919	0.0106438353474849	2.33607310466961e-51	0.214347008871068
CCDC124	0.998155467720685	0.998177536015281	0.00920263687497304	4.47958840086506e-54	0.160230690156345
CCDC130	0.985902503293807	0.991876993922535	0.0193979313972628	3.79419377466663e-40	0.71192127279659
CD22	0.993807641633728	0.999119796962765	0.00639700387187618	7.23790197888508e-61	0.0774237779516234
CD37	1	1	6.29172272030036e-17	0	7.489628590106e-30
CEACAM19	0.998814229249012	0.999164090571713	0.0062340402965203	2.38612362795959e-61	0.0735292849280648
CEACAM6	1	1	2.88947911169575e-17	0	1.57964774038641e-30
CEP89	0.993412384716732	0.99672845647032	0.0123254171704417	1.28257442582436e-48	0.287424898740893
CHAF1A	0.999472990777338	0.999996174174004	0.000421835340851697	1.21171873920282e-111	0.000336672043665456
CLPP	0.320566838162044	0.920294017530582	0.0596616275139597	3.90380065740802e-19	6.73459253708658
COX6B1	0.946903820816864	0.939658151653078	0.0521720227155388	1.1962791361995e-21	5.14987255340448
CTU1	1	1	3.15134225382806e-17	0	1.87893725374419e-30
CYP4F11	0.999077733860342	0.99963817364916	0.00410196148024013	3.63949320426149e-69	0.0318349584683272
CYP4F12	0.974703557312253	0.982960709440022	0.0280316447829323	2.87255825827131e-33	1.48668272267545
CYP4F2	0.99433465085639	0.996358813682009	0.0130018910951706	1.2765769962853e-47	0.319841033519882
CYP4F3	1	1	2.21742016943063e-17	0	9.30287357715335e-31
DHPS	0.955762706799994	0.980544929261605	0.029934673719328	4.85181431050995e-32	1.69539223477153
DHX34	1	1	1.03323172896896e-16	0	2.01983828847556e-29
DOCK6	0.999736495388669	0.999840646295047	0.00272235370249352	8.03405293355352e-77	0.0140220087173605
EBI3	1	1	3.32915537034258e-17	0	2.09695572079346e-30
EPS8L1	1	1	6.61026123134781e-17	0	8.26719873102804e-30
ERVV-1	0.99297404186335	0.99930012546988	0.00570446425726239	5.24544751375582e-63	0.0615674063788307
EXOSC5	0.969169960474308	0.960698140387677	0.0423328678330302	1.46556257135325e-25	3.39059965444898
FBXO17	0.996442687747035	0.998068131917767	0.00947457313290065	1.56718534763784e-53	0.169840178207892
FBXO27	0.994729907773386	0.997635067366129	0.0104817364545125	1.20743713032181e-51	0.207867983900713
FKRP	0.983794466403162	0.98336986828861	0.0276958993447148	1.71030159947865e-33	1.45128289424979
FSTL3	0.976284584980237	0.981283483746596	0.0293664594813277	2.12669808323921e-32	1.63163987915033
GNA15	1	1	6.72372344942737e-17	0	8.55344006901259e-30
GPR108	0.959947299077734	0.988132766634987	0.0234241157298965	1.26684213001459e-36	1.03811996210059
GPX4	0.998814229249012	0.999818023581443	0.00290916643418288	1.39436617808141e-75	0.0160124677546409
HOOK2	0.928194993412385	0.9881228440771	0.0234338480164923	1.2896861211664e-36	1.03898278057123
HSD17B14	1	1	3.48452425590419e-17	0	2.29724923766509e-30
ICAM5	0.998550724637681	0.999084223955863	0.00652493151084163	1.69589616567006e-60	0.0805513914704613
IRGQ	0.982245792554998	0.996225821413798	0.0132367641204899	2.75702396176092e-47	0.331500960929776
KLK10	0.991304347826087	0.996138297173824	0.0133890730384406	4.50951949060037e-47	0.339173687759893
KLK12	1	1	3.11564875134138e-17	0	1.83661494321628e-30
KLK13	0.996706192358366	0.997809556174992	0.0100880883083876	2.32779353029147e-52	0.192547942658126
KLK15	1	0.999882403939632	0.00233864546317459	1.16888121825923e-79	0.0103478448437921
KRI1	1	1	0	0	0
LENG1	0.99262187088274	0.988847938069871	0.022711412649461	3.35276486245134e-37	0.975909236498514
LILRA2	0.993412384716732	0.998629897783589	0.00798010207537921	9.75405116532387e-57	0.120486399120528
LONP1	0.995388669301713	0.998001108951821	0.00963736252993255	3.26051055701107e-53	0.175726607361094
LSM14A	0.987877190670707	0.986572748113455	0.0249064354623202	1.77524164748203e-35	1.17366535791406
LYPD3	0.980632411067193	0.986722062012191	0.0247684966535045	1.39791825765821e-35	1.16070118289007
MAP3K10	0.893039501017248	0.972247836641619	0.035677542980923	9.26618801031778e-29	2.40830234241042
MARCH2	1	0.999967792457773	0.00122392855021985	9.45751575494047e-92	0.00283421807371386
MEIS3	0.995783926218709	0.996958863610608	0.0118841542617611	2.67394679361615e-49	0.267213067802798
MRI1	0.995125164690382	0.997264993678158	0.0112710086877638	2.74024286613323e-50	0.240351424900611
MRPL34	0.990118577075099	0.999686876361437	0.00381596776933175	1.62698991046842e-70	0.0275505661513669
MYO9B	0.993807641633728	0.995227344405575	0.0148813391397188	4.24467516358277e-45	0.41899144968679
NCLN	0.997101449275362	0.999568750251284	0.00447814725259407	1.58365948333854e-67	0.0379417949277128
NDUFA7	1	1	8.7673945576183e-14	0	1.45432756266383e-23
NLRP2	0.995125164690382	0.999501903818051	0.00481263903838263	3.50704302091293e-66	0.0438215476200425
NOTCH3	0.304099239646403	0.617601224781854	0.119938814551416	6.19902083230131e-06	27.21702399451
NR2C2AP	0.979051383399209	0.970328475879033	0.0368727065185932	3.8287104499625e-28	2.57235655152393
NRTN	1	1	3.04310006592031e-17	0	1.75207865571983e-30
OR7C1	0.928458498023715	0.923750447131513	0.058406178277909	1.55876971874282e-19	6.45414490267043
PALM3	0.999472990777338	0.999887960758514	0.00228272547310264	4.12864791440102e-80	0.00985890092786378
PCP2	0.998023585216417	0.999523270674504	0.00470830878673344	1.36660525784699e-66	0.0419421807262896
PGPEP1	1	1	6.78734572539574e-17	0	8.71607732965225e-30
PIN1	0.997628458498024	0.997933825171743	0.00979805459819275	6.63934017087079e-53	0.181635545436142
PPM1N	0.997760210803689	0.999306821557462	0.00567711929227086	4.26624219329393e-63	0.0609785611038112
PPP2R1A	0.999337361170372	0.999881504234074	0.00234757415914346	1.37699651846171e-79	0.010427009586627
PRDX2	0.945849802371541	0.963127822793494	0.0410288602228668	3.80772339718853e-26	3.18493106628683
PRKD2	0.99802371541502	0.999355105823467	0.00547589318309995	9.03824713029444e-64	0.0567323884409472
PRPF31	0.947957839262187	0.963036962390158	0.0410784301092479	4.01100301840324e-26	3.19263159909478
PVR	0.981906531550702	0.999978379888968	0.00100278396936161	1.79547480183578e-95	0.00190254920398274
RAB8A	0.961396574440053	0.939861234651785	0.0520868817120415	1.11491749294292e-21	5.13307782234813
RAVER1	1	1	6.92682194014153e-17	0	9.07797912642861e-30
RNF126	0.923451910408432	0.922102049458325	0.0590088307117766	2.42784698685441e-19	6.58802365692933
RPS28	0.996837944664032	0.998269731304045	0.00896705022944774	1.46860300986524e-54	0.152131916734594
RPS9	0.995256916996047	0.996899522031437	0.0119993633295173	4.04896617351496e-49	0.272419090833641
S1PR5	0.869433465085639	0.903608965376072	0.0653240291434515	1.96004531548599e-17	8.07359685844728
SARS2	0.955007256894049	0.97853434446799	0.031427486376116	3.94062003529764e-31	1.86870361465045
SHC2	0.481422924901186	0.522688559279668	0.130008646402813	0.000230161808217833	31.9790534799184
SIGLEC12	0.987088274044796	0.998514948177653	0.00830788119208721	5.50746206048186e-56	0.130587523694274
SIGLEC14	0.995388669301713	0.998664956470559	0.00787741062056957	5.58852351805874e-57	0.117405407576938
SIPA1L3	0.997232837000922	0.999461085139689	0.00500590184564991	1.90641203809755e-65	0.047411728821428
SLC25A41	0.998945981554677	0.999994751755822	0.000494068557795086	1.08418995123028e-108	0.000461844275704847
SLC5A5	1	0.999999952110368	4.71956000563619e-05	1.51362374492964e-152	4.2142874655747e-06
SLC7A9	1	1	0	0	0
SMG9	0.994466403162055	0.99842730380761	0.00854933563509648	1.88798181378658e-55	0.138288436504496
SNRNP70	0.997364953886693	0.99815875586009	0.00924988761696359	5.58322660202684e-54	0.161880316392855
SNRPD2	0.957048748353096	0.970613805016216	0.0366976463068652	3.1193072899723e-28	2.54798902652547
SSC5D	1	1	3.75163616379375e-17	0	2.66294722291777e-30
SUPT5H	1	0.999999999999999	1.39310841441672e-16	0	3.67190099477093e-29
SYDE1	0.960474308300395	0.970969258345803	0.0364783144715284	2.40967430678622e-28	2.51762277128559
SYT3	0.993412384716732	0.998980897704306	0.0068830192501296	1.6872223707945e-59	0.0896353049635625
THAP8	0.938339920948617	0.954510193225981	0.0454717625201697	3.19471555739784e-24	3.91205280521882
TJP3	0.999242063325664	0.999821320344695	0.00288269650972976	9.41197365309736e-76	0.0157224049043578
TM6SF2	1	1	3.22509584659749e-17	0	1.96791521717488e-30
TPM4	0.95836627140975	0.890780245234416	0.0693005846983813	2.52168496523841e-16	9.08646440680499
U2AF1L4	0.999209486166008	0.99992115580008	0.00191494843838867	2.16291898095103e-83	0.00693801607103218
UBA52	1	1	2.22271279162617e-17	0	9.34733547547885e-31
UBXN6	0.99802371541502	0.999124049804465	0.00638153787385678	6.52238819700372e-61	0.0770498565023064
UPK1A	0.987615283267457	0.99891716246455	0.00709487619534175	6.21340702908656e-59	0.0952381114859134
VSIG10L	0.99631093544137	0.999311627798937	0.00565741034075596	3.67365936868073e-63	0.0605559040169062
