gene	effect	stderr	pval	mse
C21orf2	0.399364773539014	0.139809486457933	0.00657297334475098	36.9823422168698
CCT8	0.0123807720766986	0.15248688212607	0.935665704320755	43.9932555252425
CHODL	0.167430501764446	0.150345882386822	0.271622121125866	42.7665491914719
IFNAR1	0.0512836680849436	0.152297901571135	0.737956455379928	43.8842793570611
IL10RB	-0.0749804431011395	0.152069287539745	0.624473524867391	43.7526290587037
LCA5L	0.246501401411213	0.14779283576921	0.1026061107316	41.3264306005015
MCM3AP	0.204110018404516	0.14928816370681	0.178660845259874	42.1669204170239
NDUFV3	0.685185801977114	0.11107512822818	2.07801306849082e-07	23.3428983378351
PCBP3	0.353373197293398	0.142659733683892	0.0172571557384226	38.5056048711242
PIGP	0.49656718131067	0.132368498539878	0.000521481699238277	33.1505255155877
PSMG1	0.398719037797164	0.139852341475697	0.00666892278051136	37.0050176715166
PTTG1IP	0.447129678897173	0.136405265724699	0.00207459089073024	35.2033022109697
SETD4	0.13316141852882	0.151140473441054	0.383192140237846	43.2197936110773
SLC37A1	0.0947291101349823	0.151812797488332	0.535933096759961	43.6051614104935
TFF1	-0.0357779251292734	0.152400935423596	0.815507924411795	43.9436773632315
TMEM50B	0.175095702503477	0.150142683685546	0.249963070755922	42.6510257784518
TMPRSS2	0.360462025839828	0.142246684510138	0.0149990906342679	38.2829536288077
TTC3	0.11598386702592	0.151469372342729	0.448022960073355	43.4081006739474
WDR4	0.067775748983528	0.152147912109552	0.658222352661267	43.7978837053878
YBEY	0.452605185355738	0.135984655956326	0.00179813063954687	34.9865360323203
