gene	spearmans_rho	effect	stderr	pval	mse
ACTR5	0.257393655134437	0.219858835490153	0.148767189153944	0.146729960851054	41.8731320681042
BPI	0.494202898550725	0.60765898728892	0.121114068390189	9.56650126045734e-06	27.7530244273482
C20orf196	0.083399209486166	-0.0272079859064015	0.152442114481234	0.859183676480736	43.9674279221284
C20orf96	0.197894115396581	0.285932928209942	0.146131699167287	0.0568989289541159	40.4026638648727
CABLES2	0.180632411067194	0.200065771014978	0.149415425814583	0.187609686646876	42.2388422398
CDC25B	0.404874835309618	0.394807530001003	0.140110173779838	0.00727649131160733	37.1415886271983
CPNE1	0.107454623840585	0.414670337965314	0.138769384634727	0.00462358021203397	36.4341344757162
CST7	0.155994729907773	0.144849857788444	0.150890266511382	0.342438270773559	43.0768148227414
DHX35	0.254497841504883	0.29331709154511	0.14579095290522	0.0505227264514319	40.2144636875308
DIDO1	0.265349143610013	0.280516089831278	0.146375649530525	0.0619748049642921	40.5376718272139
DNTTIP1	0.229249011857707	0.188050468896522	0.149777899225688	0.216066821650405	42.4440289305031
DOK5	0.374044795783926	0.319174428350511	0.144522283168578	0.0325912062429599	39.5176181086335
ENTPD6	-0.0220026350461133	-0.0749481669615563	0.152069657560094	0.62462309955299	43.7528419798405
FAM182B	0.579729240408047	0.598422954739819	0.122178859287337	1.41310759842795e-05	28.2431585585805
FAM210B	0.00843214756258234	0.170649683051024	0.150261685354103	0.262379601005808	42.7186621696817
FAM83C	0.018062563283632	0.157859792051941	0.150586472573635	0.300357088872743	42.903532586346
GGT7	0.235635104771125	0.294449355989549	0.14573786412895	0.0495982023111308	40.1851813773229
HSPA12B	-0.0797101449275362	-0.0212558903257523	0.152464116031804	0.8897726192869	43.9801202335642
IFT52	-0.0693725839646796	0.0243051291175876	0.152453520228952	0.874079373445567	43.9740074707374
ITPA	0.165744400527009	0.231334476734722	0.148361936436248	0.126265894527058	41.6453118344504
KCNB1	0.277847372952191	0.188402119274086	0.149767621664056	0.215193628099789	42.4382042239335
KIF16B	0.161133069828722	0.297649477405739	0.14558660721372	0.0470590109903423	40.101810698404
KIF3B	0.0809786436393788	0.0617140166340051	0.152207888753698	0.687150747968907	43.8324207266395
LAMP5	0.0197634968320925	-0.0707452805901274	0.152116471997246	0.644225790985473	43.7797846320659
MCM8	-0.107773386034256	-0.0600655241209371	0.152223224461306	0.695097046470868	43.8412538437314
NDRG3	0.279183135704875	0.313805995857103	0.144795428824491	0.0358004674924031	39.6671350664218
NSFL1C	0.159288537549407	0.160329046498657	0.150525791411988	0.292763108539427	42.8689622613486
PLCB4	-0.0810276679841897	-0.0460764136650344	0.152336604352562	0.763756298893466	43.9065864205658
PREX1	0.0856389986824769	0.117646656333693	0.151439546941968	0.441496763079049	43.3910076271541
RBBP9	0.0746524360634212	0.100678305051638	0.151723729873705	0.510511991394071	43.5540106712449
RBCK1	0.053227931488801	0.137586544594686	0.151048270641779	0.367437824385578	43.1670774808458
RBL1	-0.184189723320158	-0.0547589788148563	0.152269761709747	0.720892834759684	43.8680639865228
RNF24	0.181109402310391	0.0732741553945158	0.152088629160091	0.632401171717656	43.7637595186537
SALL4	0.42463768115942	0.357984184702719	0.142392131633831	0.0157580152364804	38.3612822341201
SDC4	0.137584115986921	0.0594564558985732	0.152228785122307	0.698041212160786	43.8444569134872
SIRPB1	0.0372859025032938	0.0653548036317036	0.1521725420364	0.669719616089832	43.8120649842595
SLC13A3	0.0426629172395597	0.0376303170427668	0.152390559986523	0.806134941631768	43.9376942065275
SLC24A3	0.0624505928853755	0.0152816357249561	0.152480762920074	0.92063541524964	43.9897247508211
SPTLC3	0.0840607398591668	0.0511107196685632	0.152299253638856	0.738808964948655	43.8850585507383
SRMS	0.297891963109354	0.295448005485444	0.145690854292668	0.0487941816257087	40.1592609464056
STK35	0.146245059288538	0.201085867912733	0.149383576330679	0.185322969899633	42.2208368439344
TCEA2	0.184716732542819	0.159373242351023	0.150549394631063	0.295687716332058	42.882407463391
TMEM74B	-0.3241480185135	-0.162345023454065	0.15047553253631	0.286656178633891	42.8403401078268
TMX4	0.013965744400527	0.00573336774758965	0.152496063883193	0.970183147044748	43.9985536537479
VAPB	0.23768115942029	0.288171305717095	0.146029409156632	0.0549013759228355	40.3461211366974
WFDC3	0.453491436100132	0.368121230367102	0.141789785422188	0.0128464679903229	38.0374174291325
YTHDF1	0.0206851119894598	-0.0959437428169989	0.151795057539286	0.530693428285478	43.5949711214277
YWHAB	0.0792327369354745	0.0330081332625716	0.152415471284717	0.829570141147936	43.9520603780949
ZNF335	0.0699406875756794	-0.0296318814366165	0.152431605067042	0.846782428303321	43.9613658705112
ZNF337	-0.0973812946346827	0.185357054644958	0.149855958925318	0.222836564530952	42.4882815409072
